"band;""bandname"""
"http://dbpedia.org/resource/Maritime_(band);""Maritime (band)"""
"http://dbpedia.org/resource/Alacranes_Musical;""Alacranes Musical"""
"http://dbpedia.org/resource/Cesium_137_(band);""Cesium 137 (band)"""
"http://dbpedia.org/resource/Rise_and_Fall_(band);""Rise and Fall (band)"""
"http://dbpedia.org/resource/Denali_(band);""Denali (band)"""
"http://dbpedia.org/resource/Compulsive_Gamblers;""Compulsive Gamblers"""
"http://dbpedia.org/resource/Fiasco_(band);""Fiasco (band)"""
"http://dbpedia.org/resource/Nanase_Aikawa;""Nanase Aikawa"""
"http://dbpedia.org/resource/Pist.On;""Pist.On"""
"http://dbpedia.org/resource/The_Bambi_Molesters;""The Bambi Molesters"""
"http://dbpedia.org/resource/Ten_Shekel_Shirt;""Ten Shekel Shirt"""
"http://dbpedia.org/resource/Strange_Parcels;""Strange Parcels"""
"http://dbpedia.org/resource/Real_Estate_(band);""Real Estate (band)"""
"http://dbpedia.org/resource/Kon_Kan;""Kon Kan"""
"http://dbpedia.org/resource/The_Berzerker;""The Berzerker"""
"http://dbpedia.org/resource/Pentatonix;""Pentatonix"""
"http://dbpedia.org/resource/From_Zero;""From Zero"""
"http://dbpedia.org/resource/Erin_Bode;""Erin Bode"""
"http://dbpedia.org/resource/Cold_River_Lady;""Cold River Lady"""
"http://dbpedia.org/resource/LaRue_(band);""LaRue (band)"""
"http://dbpedia.org/resource/The_Herd_(Australian_band);""The Herd (Australian band)"""
"http://dbpedia.org/resource/The_Cops_(Australian_band);""The Cops (Australian band)"""
"http://dbpedia.org/resource/Chiddy_Bang;""Chiddy Bang"""
"http://dbpedia.org/resource/No_Warning_(band);""No Warning (band)"""
"http://dbpedia.org/resource/Grupo_Bryndis;""Grupo Bryndis"""
"http://dbpedia.org/resource/Latyrx;""Latyrx"""
"http://dbpedia.org/resource/It's_a_Beautiful_Day;""It's a Beautiful Day"""
"http://dbpedia.org/resource/Red_Rockers;""Red Rockers"""
"http://dbpedia.org/resource/Bonzo_Dog_Doo-Dah_Band;""Bonzo Dog Doo-Dah Band"""
"http://dbpedia.org/resource/The_Lowest_of_the_Low;""The Lowest of the Low"""
"http://dbpedia.org/resource/What_Is_This%3F;""What Is This?"""
"http://dbpedia.org/resource/Lazarus_A.D.;""Lazarus A.D."""
"http://dbpedia.org/resource/The_Reindeer_Section;""The Reindeer Section"""
"http://dbpedia.org/resource/Jack_Starr;""Jack Starr"""
"http://dbpedia.org/resource/Orchid_(heavy_metal_band);""Orchid (heavy metal band)"""
"http://dbpedia.org/resource/Part_Chimp;""Part Chimp"""
"http://dbpedia.org/resource/Ewert_and_The_Two_Dragons;""Ewert and The Two Dragons"""
"http://dbpedia.org/resource/Djam_Karet;""Djam Karet"""
"http://dbpedia.org/resource/The_Joykiller;""The Joykiller"""
"http://dbpedia.org/resource/Slovenly_(band);""Slovenly (band)"""
"http://dbpedia.org/resource/Vas_Deferens_Organization;""Vas Deferens Organization"""
"http://dbpedia.org/resource/Mingus_Big_Band;""Mingus Big Band"""
"http://dbpedia.org/resource/The_Cucumbers;""The Cucumbers"""
"http://dbpedia.org/resource/Babymetal;""Babymetal"""
"http://dbpedia.org/resource/Dying_Machines;""Dying Machines"""
"http://dbpedia.org/resource/The_Besnard_Lakes;""The Besnard Lakes"""
"http://dbpedia.org/resource/Aranis;""Aranis"""
"http://dbpedia.org/resource/Chris_Robinson_Brotherhood;""Chris Robinson Brotherhood"""
"http://dbpedia.org/resource/Straight_Faced;""Straight Faced"""
"http://dbpedia.org/resource/City_Harbor;""City Harbor"""
"http://dbpedia.org/resource/Nana_Grizol;""Nana Grizol"""
"http://dbpedia.org/resource/We_Are_the_In_Crowd;""We Are the In Crowd"""
"http://dbpedia.org/resource/Into_It._Over_It.;""Into It. Over It."""
"http://dbpedia.org/resource/Aisles;""Aisles"""
"http://dbpedia.org/resource/Cosmos_(band);""Cosmos (band)"""
"http://dbpedia.org/resource/Tennis_(band);""Tennis (band)"""
"http://dbpedia.org/resource/For_King_&_Country_(band);""For King & Country (band)"""
"http://dbpedia.org/resource/Ibeyi;""Ibeyi"""
"http://dbpedia.org/resource/Alaska!;""Alaska!"""
"http://dbpedia.org/resource/Waterparks_(band);""Waterparks (band)"""
"http://dbpedia.org/resource/The_Dead_Rabbitts;""The Dead Rabbitts"""
"http://dbpedia.org/resource/Dan_+_Shay;""Dan + Shay"""
"http://dbpedia.org/resource/DHT_(band);""DHT (band)"""
"http://dbpedia.org/resource/Eastern_Conference_Champions;""Eastern Conference Champions"""
"http://dbpedia.org/resource/Celesty;""Celesty"""
"http://dbpedia.org/resource/D'Nash;""D'Nash"""
"http://dbpedia.org/resource/Grazhdanskaya_Oborona;""Grazhdanskaya Oborona"""
"http://dbpedia.org/resource/Helium_(band);""Helium (band)"""
"http://dbpedia.org/resource/Jah_Roots;""Jah Roots"""
"http://dbpedia.org/resource/Buckner_&_Garcia;""Buckner & Garcia"""
"http://dbpedia.org/resource/Circle_of_Dead_Children;""Circle of Dead Children"""
"http://dbpedia.org/resource/Sheila_(and)_B._Devotion;""Sheila (and) B. Devotion"""
"http://dbpedia.org/resource/Blindspott;""Blindspott"""
"http://dbpedia.org/resource/Gerling;""Gerling"""
"http://dbpedia.org/resource/Nest_(band);""Nest (band)"""
"http://dbpedia.org/resource/Frehley's_Comet;""Frehley's Comet"""
"http://dbpedia.org/resource/Daughters_(band);""Daughters (band)"""
"http://dbpedia.org/resource/Gotham_Road;""Gotham Road"""
"http://dbpedia.org/resource/MSTRKRFT;""MSTRKRFT"""
"http://dbpedia.org/resource/The_Winans;""The Winans"""
"http://dbpedia.org/resource/Offer_Nissim;""Offer Nissim"""
"http://dbpedia.org/resource/Evil_Masquerade;""Evil Masquerade"""
"http://dbpedia.org/resource/Project_Rocket;""Project Rocket"""
"http://dbpedia.org/resource/31Knots;""31Knots"""
"http://dbpedia.org/resource/Von_Südenfed;""Von Südenfed"""
"http://dbpedia.org/resource/Sambrasa_Trio;""Sambrasa Trio"""
"http://dbpedia.org/resource/Means_(band);""Means (band)"""
"http://dbpedia.org/resource/Evil_Cowards;""Evil Cowards"""
"http://dbpedia.org/resource/Sly_and_Robbie;""Sly and Robbie"""
"http://dbpedia.org/resource/Ernie_Haase_&_Signature_Sound;""Ernie Haase & Signature Sound"""
"http://dbpedia.org/resource/Moe_(band);""Moe (band)"""
"http://dbpedia.org/resource/Medication_(band);""Medication (band)"""
"http://dbpedia.org/resource/Babyshambles;""Babyshambles"""
"http://dbpedia.org/resource/Lion_(band);""Lion (band)"""
"http://dbpedia.org/resource/The_Teenage_Kissers;""The Teenage Kissers"""
"http://dbpedia.org/resource/Acacia_(band);""Acacia (band)"""
"http://dbpedia.org/resource/Belly_(band);""Belly (band)"""
"http://dbpedia.org/resource/Hurricane_(band);""Hurricane (band)"""
"http://dbpedia.org/resource/The_Ranch_(band);""The Ranch (band)"""
"http://dbpedia.org/resource/Artists_United_Against_Apartheid;""Artists United Against Apartheid"""
"http://dbpedia.org/resource/The_Grates;""The Grates"""
"http://dbpedia.org/resource/Foolish_Things;""Foolish Things"""
"http://dbpedia.org/resource/Von_Hemmling;""Von Hemmling"""
"http://dbpedia.org/resource/Late_of_the_Pier;""Late of the Pier"""
"http://dbpedia.org/resource/Landscape_(band);""Landscape (band)"""
"http://dbpedia.org/resource/Slapp_Happy;""Slapp Happy"""
"http://dbpedia.org/resource/Voxtrot;""Voxtrot"""
"http://dbpedia.org/resource/Faith_Global;""Faith Global"""
"http://dbpedia.org/resource/The_June_Brides;""The June Brides"""
"http://dbpedia.org/resource/April_Boys;""April Boys"""
"http://dbpedia.org/resource/Pyx_Lax;""Pyx Lax"""
"http://dbpedia.org/resource/Easy_Action_(band);""Easy Action (band)"""
"http://dbpedia.org/resource/Sétima_Legião;""Sétima Legião"""
"http://dbpedia.org/resource/Hatcham_Social;""Hatcham Social"""
"http://dbpedia.org/resource/Honey_Cone;""Honey Cone"""
"http://dbpedia.org/resource/BeauSoleil;""BeauSoleil"""
"http://dbpedia.org/resource/Shy_(band);""Shy (band)"""
"http://dbpedia.org/resource/Parenthetical_Girls;""Parenthetical Girls"""
"http://dbpedia.org/resource/Ambulance_LTD;""Ambulance LTD"""
"http://dbpedia.org/resource/Amoyamo;""Amoyamo"""
"http://dbpedia.org/resource/Apologies,_I_Have_None;""Apologies, I Have None"""
"http://dbpedia.org/resource/Gray_Matter_(band);""Gray Matter (band)"""
"http://dbpedia.org/resource/Cadaver_(band);""Cadaver (band)"""
"http://dbpedia.org/resource/3rd_Strike;""3rd Strike"""
"http://dbpedia.org/resource/Faker_(band);""Faker (band)"""
"http://dbpedia.org/resource/Soul_for_Real;""Soul for Real"""
"http://dbpedia.org/resource/Flashy_Python;""Flashy Python"""
"http://dbpedia.org/resource/Tantrum_(American_band);""Tantrum (American band)"""
"http://dbpedia.org/resource/Scaterd_Few;""Scaterd Few"""
"http://dbpedia.org/resource/Centipede_(band);""Centipede (band)"""
"http://dbpedia.org/resource/Dark_Star_(band);""Dark Star (band)"""
"http://dbpedia.org/resource/Penguin_Cafe_Orchestra;""Penguin Cafe Orchestra"""
"http://dbpedia.org/resource/Frantic_Bleep;""Frantic Bleep"""
"http://dbpedia.org/resource/Salim–Sulaiman;""Salim–Sulaiman"""
"http://dbpedia.org/resource/The_Ballistics;""The Ballistics"""
"http://dbpedia.org/resource/Odd_Project;""Odd Project"""
"http://dbpedia.org/resource/Sywnthkrawft;""Sywnthkrawft"""
"http://dbpedia.org/resource/Carbonized;""Carbonized"""
"http://dbpedia.org/resource/Divine_Heresy;""Divine Heresy"""
"http://dbpedia.org/resource/The_Red_Jumpsuit_Apparatus;""The Red Jumpsuit Apparatus"""
"http://dbpedia.org/resource/Lucky_Soul;""Lucky Soul"""
"http://dbpedia.org/resource/Petitmoni;""Petitmoni"""
"http://dbpedia.org/resource/Babylon_A.D._(band);""Babylon A.D. (band)"""
"http://dbpedia.org/resource/Icon_of_Coil;""Icon of Coil"""
"http://dbpedia.org/resource/SPA_(band);""SPA (band)"""
"http://dbpedia.org/resource/Scatter_(band);""Scatter (band)"""
"http://dbpedia.org/resource/The_Christians_(band);""The Christians (band)"""
"http://dbpedia.org/resource/Jinja_Safari;""Jinja Safari"""
"http://dbpedia.org/resource/Miniature_(band);""Miniature (band)"""
"http://dbpedia.org/resource/Chage_and_Aska;""Chage and Aska"""
"http://dbpedia.org/resource/My_Ransomed_Soul;""My Ransomed Soul"""
"http://dbpedia.org/resource/Ninety_Pound_Wuss;""Ninety Pound Wuss"""
"http://dbpedia.org/resource/Coachwhips;""Coachwhips"""
"http://dbpedia.org/resource/Marvelous_3;""Marvelous 3"""
"http://dbpedia.org/resource/The_Smoke;""The Smoke"""
"http://dbpedia.org/resource/Il_Balletto_di_Bronzo;""Il Balletto di Bronzo"""
"http://dbpedia.org/resource/Undish;""Undish"""
"http://dbpedia.org/resource/Bourbon_Crow;""Bourbon Crow"""
"http://dbpedia.org/resource/4_Runner;""4 Runner"""
"http://dbpedia.org/resource/Viper_Solfa;""Viper Solfa"""
"http://dbpedia.org/resource/The_Rubens;""The Rubens"""
"http://dbpedia.org/resource/Fahrenhaidt;""Fahrenhaidt"""
"http://dbpedia.org/resource/Kenickie;""Kenickie"""
"http://dbpedia.org/resource/Incognito_(band);""Incognito (band)"""
"http://dbpedia.org/resource/Mount_Righteous;""Mount Righteous"""
"http://dbpedia.org/resource/Strong_Arm_Steady;""Strong Arm Steady"""
"http://dbpedia.org/resource/Tahiti_80;""Tahiti 80"""
"http://dbpedia.org/resource/I_(band);""I (band)"""
"http://dbpedia.org/resource/Molemen;""Molemen"""
"http://dbpedia.org/resource/Muleskinner_(band);""Muleskinner (band)"""
"http://dbpedia.org/resource/Heathen_(band);""Heathen (band)"""
"http://dbpedia.org/resource/Telekinesis_(band);""Telekinesis (band)"""
"http://dbpedia.org/resource/Defecation_(band);""Defecation (band)"""
"http://dbpedia.org/resource/Mak_and_the_Dudes;""Mak and the Dudes"""
"http://dbpedia.org/resource/Crimson_Moonlight;""Crimson Moonlight"""
"http://dbpedia.org/resource/Human_Radio;""Human Radio"""
"http://dbpedia.org/resource/Atoms_for_Peace_(band);""Atoms for Peace (band)"""
"http://dbpedia.org/resource/Thunderbirds_Are_Now!;""Thunderbirds Are Now!"""
"http://dbpedia.org/resource/Institute_(band);""Institute (band)"""
"http://dbpedia.org/resource/Into_the_Moat;""Into the Moat"""
"http://dbpedia.org/resource/Ramona_Falls_(band);""Ramona Falls (band)"""
"http://dbpedia.org/resource/The_Blackwood_Brothers;""The Blackwood Brothers"""
"http://dbpedia.org/resource/Eleven_(band);""Eleven (band)"""
"http://dbpedia.org/resource/Vondur;""Vondur"""
"http://dbpedia.org/resource/Eternal_Elysium;""Eternal Elysium"""
"http://dbpedia.org/resource/Torch_(band);""Torch (band)"""
"http://dbpedia.org/resource/Chopper_City_Boyz;""Chopper City Boyz"""
"http://dbpedia.org/resource/Malevolence_(band);""Malevolence (band)"""
"http://dbpedia.org/resource/WC_and_the_Maad_Circle;""WC and the Maad Circle"""
"http://dbpedia.org/resource/Capellen_Choir;""Capellen Choir"""
"http://dbpedia.org/resource/The_Flying_Lizards;""The Flying Lizards"""
"http://dbpedia.org/resource/The_Famine;""The Famine"""
"http://dbpedia.org/resource/Brain_Failure;""Brain Failure"""
"http://dbpedia.org/resource/Balanescu_Quartet;""Balanescu Quartet"""
"http://dbpedia.org/resource/The_Fixxers;""The Fixxers"""
"http://dbpedia.org/resource/College_Boyz;""College Boyz"""
"http://dbpedia.org/resource/Papercuts_(band);""Papercuts (band)"""
"http://dbpedia.org/resource/Brutal_Knights;""Brutal Knights"""
