"http://dbpedia.org/resource/Maritime_(band);""http://dbpedia.org/resource/The_Dismemberment_Plan"";""The Dismemberment Plan"""
"http://dbpedia.org/resource/Denali_(band);""http://dbpedia.org/resource/Cam_DiNunzio"";""Cam DiNunzio"""
"http://dbpedia.org/resource/Denali_(band);""http://dbpedia.org/resource/Maura_Davis"";""Maura Davis"""
"http://dbpedia.org/resource/Denali_(band);""http://dbpedia.org/resource/Keeley_Davis"";""Keeley Davis"""
"http://dbpedia.org/resource/Pist.On;""http://dbpedia.org/resource/Johnny_Kelly"";""Johnny Kelly"""
"http://dbpedia.org/resource/Strange_Parcels;""http://dbpedia.org/resource/Keith_LeBlanc"";""Keith LeBlanc"""
"http://dbpedia.org/resource/Strange_Parcels;""http://dbpedia.org/resource/Little_Axe"";""Little Axe"""
"http://dbpedia.org/resource/Strange_Parcels;""http://dbpedia.org/resource/Little_Axe"";""Skip McDonald"""
"http://dbpedia.org/resource/Strange_Parcels;""http://dbpedia.org/resource/Doug_Wimbish"";""Doug Wimbish"""
"http://dbpedia.org/resource/Real_Estate_(band);""http://dbpedia.org/resource/Matt_Mondanile"";""Matt Mondanile"""
"http://dbpedia.org/resource/Cold_River_Lady;""http://dbpedia.org/resource/Pete_Farndon"";""Pete Farndon"""
"http://dbpedia.org/resource/Cold_River_Lady;""http://dbpedia.org/resource/John_McKenzie_(musician)"";""John McKenzie"""
"http://dbpedia.org/resource/LaRue_(band);""http://dbpedia.org/resource/Natalie_LaRue"";""Natalie LaRue"""
"http://dbpedia.org/resource/LaRue_(band);""http://dbpedia.org/resource/Phillip_LaRue"";""Phillip LaRue"""
"http://dbpedia.org/resource/It's_a_Beautiful_Day;""http://dbpedia.org/resource/Tom_Fowler_(musician)"";""Tom Fowler"""
"http://dbpedia.org/resource/It's_a_Beautiful_Day;""http://dbpedia.org/resource/Bud_Cockrell"";""Bud Cockrell"""
"http://dbpedia.org/resource/Red_Rockers;""http://dbpedia.org/resource/Jim_Reilly"";""Jim Reilly"""
"http://dbpedia.org/resource/Red_Rockers;""http://dbpedia.org/resource/John_Thomas_Griffith"";""John Thomas Griffith"""
"http://dbpedia.org/resource/Bonzo_Dog_Doo-Dah_Band;""http://dbpedia.org/resource/Vivian_Stanshall"";""Vivian Stanshall"""
"http://dbpedia.org/resource/Bonzo_Dog_Doo-Dah_Band;""http://dbpedia.org/resource/Dennis_Cowan"";""Dennis Cowan"""
"http://dbpedia.org/resource/Bonzo_Dog_Doo-Dah_Band;""http://dbpedia.org/resource/Lenny_Williams"";""Lenny Williams"""
"http://dbpedia.org/resource/The_Lowest_of_the_Low;""http://dbpedia.org/resource/Stephen_Stanley"";""Stephen Stanley"""
"http://dbpedia.org/resource/What_Is_This%3F;""http://dbpedia.org/resource/Flea_(musician)"";""Flea"""
"http://dbpedia.org/resource/What_Is_This%3F;""http://dbpedia.org/resource/Hillel_Slovak"";""Hillel Slovak"""
"http://dbpedia.org/resource/What_Is_This%3F;""http://dbpedia.org/resource/Anthony_Kiedis"";""Anthony Kiedis"""
"http://dbpedia.org/resource/What_Is_This%3F;""http://dbpedia.org/resource/Jack_Irons"";""Jack Irons"""
