"http://dbpedia.org/resource/Maritime_(band);""http://dbpedia.org/resource/Davey_von_Bohlen"";""Davey von Bohlen"""
"http://dbpedia.org/resource/Compulsive_Gamblers;""http://dbpedia.org/resource/Greg_Cartwright"";""Greg Cartwright"""
"http://dbpedia.org/resource/Compulsive_Gamblers;""http://dbpedia.org/resource/Jack_Yarber"";""Jack Yarber"""
"http://dbpedia.org/resource/Compulsive_Gamblers;""http://dbpedia.org/resource/Jack_Yarber"";""Jack Oblivian"""
"http://dbpedia.org/resource/Real_Estate_(band);""http://dbpedia.org/resource/Martin_Courtney"";""Martin Courtney"""
"http://dbpedia.org/resource/Real_Estate_(band);""http://dbpedia.org/resource/Alex_Bleeker"";""Alex Bleeker"""
"http://dbpedia.org/resource/Pentatonix;""http://dbpedia.org/resource/Kevin_Olusola"";""Kevin Olusola"""
"http://dbpedia.org/resource/Pentatonix;""http://dbpedia.org/resource/Kirstin_Maldonado"";""Kirstin Maldonado"""
"http://dbpedia.org/resource/The_Herd_(Australian_band);""http://dbpedia.org/resource/Kenny_Sabir"";""Kenny Sabir"""
"http://dbpedia.org/resource/The_Herd_(Australian_band);""http://dbpedia.org/resource/Urthboy"";""Urthboy"""
"http://dbpedia.org/resource/Latyrx;""http://dbpedia.org/resource/Lyrics_Born"";""Lyrics Born"""
"http://dbpedia.org/resource/It's_a_Beautiful_Day;""http://dbpedia.org/resource/Val_Fuentes"";""Val Fuentes"""
"http://dbpedia.org/resource/It's_a_Beautiful_Day;""http://dbpedia.org/resource/David_LaFlamme"";""David LaFlamme"""
"http://dbpedia.org/resource/Bonzo_Dog_Doo-Dah_Band;""http://dbpedia.org/resource/Larry_Smith_(musician)"";""Larry Smith"""
"http://dbpedia.org/resource/Bonzo_Dog_Doo-Dah_Band;""http://dbpedia.org/resource/Roger_Ruskin_Spear"";""Roger Ruskin Spear"""
"http://dbpedia.org/resource/Bonzo_Dog_Doo-Dah_Band;""http://dbpedia.org/resource/Neil_Innes"";""Neil Innes"""
"http://dbpedia.org/resource/Bonzo_Dog_Doo-Dah_Band;""http://dbpedia.org/resource/Bob_Kerr_(musician)"";""Bob Kerr"""
"http://dbpedia.org/resource/Bonzo_Dog_Doo-Dah_Band;""http://dbpedia.org/resource/Rodney_Slater_(musician)"";""Rodney Slater"""
"http://dbpedia.org/resource/The_Lowest_of_the_Low;""http://dbpedia.org/resource/Ron_Hawkins"";""Ron Hawkins"""
"http://dbpedia.org/resource/The_Reindeer_Section;""http://dbpedia.org/resource/Mark_McClelland"";""Mark McClelland"""
"http://dbpedia.org/resource/The_Reindeer_Section;""http://dbpedia.org/resource/Norman_Blake_(Scottish_musician)"";""Norman Blake"""
"http://dbpedia.org/resource/The_Reindeer_Section;""http://dbpedia.org/resource/Eugene_Kelly"";""Eugene Kelly"""
"http://dbpedia.org/resource/The_Reindeer_Section;""http://dbpedia.org/resource/Gareth_Russell_(musician)"";""Gareth Russell"""
"http://dbpedia.org/resource/The_Reindeer_Section;""http://dbpedia.org/resource/Bobby_Kildea"";""Bobby Kildea"""
"http://dbpedia.org/resource/The_Reindeer_Section;""http://dbpedia.org/resource/Mick_Cooke"";""Mick Cooke"""
"http://dbpedia.org/resource/The_Reindeer_Section;""http://dbpedia.org/resource/Gary_Lightbody"";""Gary Lightbody"""
"http://dbpedia.org/resource/The_Reindeer_Section;""http://dbpedia.org/resource/Colin_MacIntyre"";""Colin MacIntyre"""
"http://dbpedia.org/resource/The_Reindeer_Section;""http://dbpedia.org/resource/Richard_Colburn"";""Richard Colburn"""
"http://dbpedia.org/resource/The_Reindeer_Section;""http://dbpedia.org/resource/Aidan_Moffat"";""Aidan Moffat"""
"http://dbpedia.org/resource/The_Reindeer_Section;""http://dbpedia.org/resource/John_Cummings_(musician)"";""John Cummings"""
"http://dbpedia.org/resource/The_Reindeer_Section;""http://dbpedia.org/resource/Jonny_Quinn"";""Jonny Quinn"""
"http://dbpedia.org/resource/The_Reindeer_Section;""http://dbpedia.org/resource/Iain_Archer"";""Iain Archer"""
"http://dbpedia.org/resource/The_Reindeer_Section;""http://dbpedia.org/resource/Malcolm_Middleton"";""Malcolm Middleton"""
"http://dbpedia.org/resource/The_Reindeer_Section;""http://dbpedia.org/resource/Roddy_Woomble"";""Roddy Woomble"""
"http://dbpedia.org/resource/Babymetal;""http://dbpedia.org/resource/Suzuka_Nakamoto"";""Suzuka Nakamoto"""
"http://dbpedia.org/resource/Babymetal;""http://dbpedia.org/resource/Moa_Kikuchi"";""Moa Kikuchi"""
"http://dbpedia.org/resource/Babymetal;""http://dbpedia.org/resource/Yui_Mizuno"";""Yui Mizuno"""
"http://dbpedia.org/resource/The_Besnard_Lakes;""http://dbpedia.org/resource/Jace_Lasek"";""Jace Lasek"""
"http://dbpedia.org/resource/Aranis;""http://dbpedia.org/resource/Joris_Vanvinckenroye"";""Joris Vanvinckenroye"""
"http://dbpedia.org/resource/Chris_Robinson_Brotherhood;""http://dbpedia.org/resource/Neal_Casal"";""Neal Casal"""
"http://dbpedia.org/resource/Chris_Robinson_Brotherhood;""http://dbpedia.org/resource/Chris_Robinson_(singer)"";""Chris Robinson"""
"http://dbpedia.org/resource/Chris_Robinson_Brotherhood;""http://dbpedia.org/resource/Tony_Leone"";""Tony Leone"""
"http://dbpedia.org/resource/Nana_Grizol;""http://dbpedia.org/resource/Madeline_(musician)"";""Madeline"""
"http://dbpedia.org/resource/We_Are_the_In_Crowd;""http://dbpedia.org/resource/Taylor_Jardine"";""Taylor Jardine"""
"http://dbpedia.org/resource/Cosmos_(band);""http://dbpedia.org/resource/Jānis_Ozols"";""Jānis Ozols"""
"http://dbpedia.org/resource/The_Dead_Rabbitts;""http://dbpedia.org/resource/Craig_Mabbitt"";""Craig Mabbitt"""
"http://dbpedia.org/resource/Eastern_Conference_Champions;""http://dbpedia.org/resource/Josh_Ostrander"";""Josh Ostrander"""
"http://dbpedia.org/resource/Grazhdanskaya_Oborona;""http://dbpedia.org/resource/Natalia_Chumakova"";""Natalia Chumakova"""
"http://dbpedia.org/resource/Grazhdanskaya_Oborona;""http://dbpedia.org/resource/Yegor_Letov"";""Yegor Letov"""
"http://dbpedia.org/resource/Sheila_(and)_B._Devotion;""http://dbpedia.org/resource/Sheila_(singer)"";""Sheila"""
"http://dbpedia.org/resource/Daughters_(band);""http://dbpedia.org/resource/Jon_Syverson"";""Jon Syverson"""
"http://dbpedia.org/resource/Daughters_(band);""http://dbpedia.org/resource/Alexis_S.F._Marshall"";""Alexis S.F. Marshall"""
"http://dbpedia.org/resource/Gotham_Road;""http://dbpedia.org/resource/Michale_Graves"";""Michale Graves"""
"http://dbpedia.org/resource/MSTRKRFT;""http://dbpedia.org/resource/Al-P"";""Al-P"""
"http://dbpedia.org/resource/MSTRKRFT;""http://dbpedia.org/resource/Jesse_F._Keeler"";""Jesse F. Keeler"""
"http://dbpedia.org/resource/The_Winans;""http://dbpedia.org/resource/Marvin_Winans"";""Marvin Winans"""
"http://dbpedia.org/resource/Evil_Masquerade;""http://dbpedia.org/resource/Henrik_Flyman"";""Henrik Flyman"""
"http://dbpedia.org/resource/Von_Südenfed;""http://dbpedia.org/resource/Mark_E._Smith"";""Mark E. Smith"""
"http://dbpedia.org/resource/Sambrasa_Trio;""http://dbpedia.org/resource/Humberto_Clayber"";""Humberto Clayber"""
"http://dbpedia.org/resource/Sambrasa_Trio;""http://dbpedia.org/resource/Hermeto_Pascoal"";""Hermeto Pascoal"""
"http://dbpedia.org/resource/Sambrasa_Trio;""http://dbpedia.org/resource/Airto_Moreira"";""Airto Moreira"""
"http://dbpedia.org/resource/Sly_and_Robbie;""http://dbpedia.org/resource/Robbie_Shakespeare"";""Robbie Shakespeare"""
"http://dbpedia.org/resource/Sly_and_Robbie;""http://dbpedia.org/resource/Robbie_Shakespeare"";""Robert Shakespeare"""
"http://dbpedia.org/resource/Sly_and_Robbie;""http://dbpedia.org/resource/Sly_Dunbar"";""Sly Dunbar"""
"http://dbpedia.org/resource/Moe_(band);""http://dbpedia.org/resource/Vinnie_Amico"";""Vinnie Amico"""
"http://dbpedia.org/resource/Moe_(band);""http://dbpedia.org/resource/Al_Schnier"";""Al Schnier"""
"http://dbpedia.org/resource/Moe_(band);""http://dbpedia.org/resource/Rob_Derhak"";""Rob Derhak"""
"http://dbpedia.org/resource/Moe_(band);""http://dbpedia.org/resource/Chuck_Garvey"";""Chuck Garvey"""
"http://dbpedia.org/resource/Babyshambles;""http://dbpedia.org/resource/Mick_Whitnall"";""Mick Whitnall"""
"http://dbpedia.org/resource/Babyshambles;""http://dbpedia.org/resource/Pete_Doherty"";""Pete Doherty"""
"http://dbpedia.org/resource/Babyshambles;""http://dbpedia.org/resource/Drew_McConnell"";""Drew McConnell"""
"http://dbpedia.org/resource/The_Teenage_Kissers;""http://dbpedia.org/resource/Nana_Kitade"";""Nana Kitade"""
"http://dbpedia.org/resource/Belly_(band);""http://dbpedia.org/resource/Gail_Greenwood"";""Gail Greenwood"""
"http://dbpedia.org/resource/Belly_(band);""http://dbpedia.org/resource/Tanya_Donelly"";""Tanya Donelly"""
"http://dbpedia.org/resource/Hurricane_(band);""http://dbpedia.org/resource/Robert_Sarzo"";""Robert Sarzo"""
"http://dbpedia.org/resource/Von_Hemmling;""http://dbpedia.org/resource/Jim_McIntyre_(musician)"";""Jim McIntyre"""
"http://dbpedia.org/resource/Pyx_Lax;""http://dbpedia.org/resource/Babis_Stokas"";""Babis Stokas"""
"http://dbpedia.org/resource/Pyx_Lax;""http://dbpedia.org/resource/Filippos_Pliatsikas"";""Filippos Pliatsikas"""
